Артикул,Наименование для сайта,Бренд,Коллекция,Тип элемента,Цвет плитки,Формат плиты номинальный,Материал,Поверхность,Применение,Фото плиты,Фото Коллекции,Доп фото коллекции
A-LS4O096\J,"Ступень Cersanit Lofthouse  серый  29,7x59,8 LS4O096",Cersanit,Lofthouse,Ступень,серый,"29,7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/8c9/LS4O096.jpg,,
A-LS4O526\J,"Ступень Cersanit Lofthouse  светло-серый  29,7x59,8 LS4O526",Cersanit,Lofthouse,Ступень,светло-серый,"29,7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/e1d/LS4O526.jpg,,
A-LS5A096\J,"Плинтус Cersanit Lofthouse  серый  7x59,8 LS5A096",Cersanit,Lofthouse,Плинтус,серый,"7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/a4f/LS5A096.jpg,,
A-LS5A526\J,"Плинтус Cersanit Lofthouse  светло-серый  7x59,8 LS5A526",Cersanit,Lofthouse,Плинтус,светло-серый,"7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/2f9/LS5A526.jpg,,
A-LS6O096\J,"Мозаика на сетке Cersanit Lofthouse  серый  28,3x24,6 LS6O096",Cersanit,Lofthouse,Мозаика на сетке,серый,"28,3x24,6",Керамогранит,глазурованная,Для внутренней отделки,https://pvi.cersanit.ru/upload/uf/1d7/LS6O096.jpg,https://pvi.cersanit.ru/upload/uf/0db/INT_LOFTHOUSE_5_1.jpg,"https://pvi.cersanit.ru/upload/uf/ed3/INT_LOFTHOUSE_5_3.jpg;https://pvi.cersanit.ru/upload/uf/5aa/INT_LOFTHOUSE_5_4.jpg;https://pvi.cersanit.ru/upload/uf/b7f/INT_LOFTHOUSE_5_5.jpg;https://pvi.cersanit.ru/upload/uf/c13/INT_LOFTHOUSE_5_6.jpg"
A-LS6O526\J,"Мозаика на сетке Cersanit Lofthouse  светло-серый  28,3x24,6 LS6O526",Cersanit,Lofthouse,Мозаика на сетке,светло-серый,"28,3x24,6",Керамогранит,глазурованная,Для внутренней отделки,https://pvi.cersanit.ru/upload/uf/e19/LS6O526.jpg,https://pvi.cersanit.ru/upload/uf/3c8/2_13_.jpg,
A-RS2L451\G,Мозаика на сетке Cersanit Royal Stone  многоцветный  30x30 RS2L451,Cersanit,Royal Stone,Мозаика на сетке,многоцветный,30x30,Керамическая плитка,глазурованная,Для внутренней отделки,https://pvi.cersanit.ru/upload/uf/084/RS2L451.jpg,https://pvi.cersanit.ru/upload/uf/cb8/INT_Royal_stone_2_1.jpg,"https://pvi.cersanit.ru/upload/uf/299/INT_Royal_stone_2_2.jpg;https://pvi.cersanit.ru/upload/uf/976/INT_Royal_stone_2_3.jpg;https://pvi.cersanit.ru/upload/uf/cae/Royal_Stone.jpg"
A-WS4O116\J,"Ступень Cersanit Woodhouse  коричневый  29,7x59,8 WS4O116",Cersanit,Woodhouse,Ступень,коричневый,"29,7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/27d/WS4O116.jpg,https://pvi.cersanit.ru/upload/uf/f0c/INT_Woodhouse_WS4O112_3_1.jpg,https://pvi.cersanit.ru/upload/uf/1cf/INT_Woodhouse_WS4O112_3_3.jpg
A-WS4O156\J,"Ступень Cersanit Woodhouse  темно-бежевый  29,7x59,8 WS4O156",Cersanit,Woodhouse,Ступень,темно-бежевый,"29,7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/228/WS4O156.jpg,,
A-WS4O526\J,"Ступень Cersanit Woodhouse  светло-серый  29,7x59,8 WS4O526",Cersanit,Woodhouse,Ступень,светло-серый,"29,7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/ae3/WS4O526.jpg,https://pvi.cersanit.ru/upload/uf/ae1/INT_Woodhouse_522_3_3.jpg,
A-WS5A116\J,"Плинтус Cersanit Woodhouse  коричневый  7x59,8 WS5A116",Cersanit,Woodhouse,Плинтус,коричневый,"7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/23b/WS5A116.jpg,,
A-WS5A156\J,"Плинтус Cersanit Woodhouse  темно-бежевый  7x59,8 WS5A156",Cersanit,Woodhouse,Плинтус,темно-бежевый,"7x59,8",Керамогранит,глазурованная,Для внутренней и внешней отделки,https://pvi.cersanit.ru/upload/uf/f64/WS5A156.jpg,,
