Код BSU,Артикул,Артикул цифровой,Наименование,Наименование для сайта,Версия,Тип элемента,Штрихкод штука,Штрихкод коробка,Штрихкод паллет,Бренд,Коллекция,Стиль коллекции,Базовая единица измерения,Формат плиты номинальный,Формат плиты округленный,Формат коллекции округленный,Ширина плитки (см),Длина плитки (см),Толщина плитки (см),Вес одной плитки (кг),Количество слоев в паллете,Количество коробов в слое паллеты,Количество коробов на паллете,Количество изделий в коробке,Количество плиток в коробке,М2 в одной коробке,Ширина коробки (м),Длина коробки (м),Высота коробки (м),Вес коробки брутто (кг),Вес коробки нетто (кг),м2/шт на паллете,Ширина паллеты (м),Длина паллеты (м),Высота паллеты (м),Вес паллеты брутто (кг),Вес паллеты нетто (кг),Короб пустой брутто (кг),Поддон пустой брутто (кг),Вес полиэтилена (кг),Страна происхождения,Цвет плитки,Дизайн,Материал,Вид поверхности,Поверхность,Фактура поверхности,Ректификат,Рельеф,Водопоглащение,Морозостойкость,Класс износостойкости,Класс устойчивости к скольжению,Количество фрагментов рисунка,Назначение,Применение,Помещения,Фото плиты,Фото Коллекции,Кол-во доп фото коллекции,Доп фото коллекции,"Видео 360, YouTube"
LS4O096,A-LS4O096\J,10075,"Ступень Lofthouse серый 29,7x59,8","Ступень Cersanit Lofthouse  серый  29,7x59,8 LS4O096",,Ступень,4690311079954,4690311079947,,Cersanit,Lofthouse,Современный,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","0,75","3,41",,,,6,6,,"0,3","0,62","0,075","20,62","20,448",240,"0,8","1,2","0,7","853,3","817,92","0,172",28,0.500,РОССИЯ,серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R11,5,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/8c9/LS4O096.jpg,,,,
LS4O526,A-LS4O526\J,10077,"Ступень Lofthouse светло-серый 29,7x59,8","Ступень Cersanit Lofthouse  светло-серый  29,7x59,8 LS4O526",,Ступень,4690311079992,4690311079985,,Cersanit,Lofthouse,Современный,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","0,75","3,47",,,,6,6,,"0,3","0,62","0,075",21,"20,832",240,"0,8","1,2","0,7","868,5","833,28","0,172",28,0.500,РОССИЯ,светло-серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R10,5,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/e1d/LS4O526.jpg,,,,
LS5A096,A-LS5A096\J,10078,"Плинтус Lofthouse серый 7x59,8","Плинтус Cersanit Lofthouse  серый  7x59,8 LS5A096",,Плинтус,4690311078940,4690311078933,,Cersanit,Lofthouse,Современный,шт.,"7x59,8",7x60,30x60,7,"59,8",1,"0,85",,,,18,18,,"0,2","0,63","0,075","15,44","15,336",864,"0,8","1,2","0,7","769,62","736,128","0,11",28,0.500,РОССИЯ,серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,,,Универсальный,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/a4f/LS5A096.jpg,,,,
LS5A526,A-LS5A526\J,10080,"Плинтус Lofthouse светло-серый 7x59,8","Плинтус Cersanit Lofthouse  светло-серый  7x59,8 LS5A526",,Плинтус,4690311078988,4690311078971,,Cersanit,Lofthouse,Современный,шт.,"7x59,8",7x60,30x60,7,"59,8",1,"0,81",,,,18,18,,"0,2","0,63","0,075","14,72","14,616",864,"0,8","1,2","0,7","735,06","701,568","0,11",28,0.500,РОССИЯ,светло-серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,,,Универсальный,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/2f9/LS5A526.jpg,,,,
LS6O096,A-LS6O096\J,10084,"Напольная мозаика Lofthouse серый 28,3x24,6","Мозаика на сетке Cersanit Lofthouse  серый  28,3x24,6 LS6O096",,Мозаика на сетке,4690311080011,4690311080004,,Cersanit,Lofthouse,Современный,шт.,"28,3x24,6",28x25,30x60,"28,3","24,6","0,95","0,97",,,,10,10,,"0,325","0,326","0,104","9,78","9,67",360,"0,8","1,2","0,7","380,58","348,12","0,11",28,0.500,РОССИЯ,серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",,,,,Универсальный,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/1d7/LS6O096.jpg,https://pvi.cersanit.ru/upload/uf/0db/INT_LOFTHOUSE_5_1.jpg,4,https://pvi.cersanit.ru/upload/uf/ed3/INT_LOFTHOUSE_5_3.jpg;https://pvi.cersanit.ru/upload/uf/5aa/INT_LOFTHOUSE_5_4.jpg;https://pvi.cersanit.ru/upload/uf/b7f/INT_LOFTHOUSE_5_5.jpg;https://pvi.cersanit.ru/upload/uf/c13/INT_LOFTHOUSE_5_6.jpg,
LS6O526,A-LS6O526\J,10086,"Напольная мозаика Lofthouse светло-серый 28,3x24,6","Мозаика на сетке Cersanit Lofthouse  светло-серый  28,3x24,6 LS6O526",,Мозаика на сетке,4690311080059,4690311080042,,Cersanit,Lofthouse,Современный,шт.,"28,3x24,6",28x25,30x60,"28,3","24,6","0,95","0,99",,,,10,10,,"0,325","0,331","0,105","9,98","9,87",360,"0,8","1,2","0,7","387,78","355,32","0,11",28,0.500,РОССИЯ,светло-серый,Бетон,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",,,,,Универсальный,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/e19/LS6O526.jpg,https://pvi.cersanit.ru/upload/uf/3c8/2_13_.jpg,,,
RS2L451,A-RS2L451\G,10147,Настенная мозаика Royal Stone многоцветный 30x30,Мозаика на сетке Cersanit Royal Stone  многоцветный  30x30 RS2L451,,Мозаика на сетке,4690311074683,4690311074768,,Cersanit,Royal Stone,Классический,шт.,30x30,30x30,30x60,30,30,1,"1,21",,,,17,17,,"0,355","0,336","0,185","20,62","20,502",408,"0,8","1,2","0,7","523,38","492,048","0,11",28,0.500,РОССИЯ,многоцветный,Камень,Керамическая плитка,глянцевая,глазурованная,гладкая,,,E>10%,,,,,Стена,Для внутренней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/084/RS2L451.jpg,https://pvi.cersanit.ru/upload/uf/cb8/INT_Royal_stone_2_1.jpg,7,https://pvi.cersanit.ru/upload/uf/299/INT_Royal_stone_2_2.jpg;https://pvi.cersanit.ru/upload/uf/976/INT_Royal_stone_2_3.jpg;https://pvi.cersanit.ru/upload/uf/cae/Royal_Stone.jpg;https://pvi.cersanit.ru/upload/uf/59a/INT_Colorwood_2_1.jpg;https://pvi.cersanit.ru/upload/uf/58f/INT_Royal_Stone_2_1.jpg;https://pvi.cersanit.ru/upload/uf/653/INT_Royal_Stone_2_2.jpg;https://pvi.cersanit.ru/upload/uf/bb7/INT_Royal_Stone_2_3.jpg,
WS4O116,A-WS4O116\J,10259,"Ступень Woodhouse коричневый 29,7x59,8","Ступень Cersanit Woodhouse  коричневый  29,7x59,8 WS4O116",,Ступень,4690311080233,4690311080226,,Cersanit,Woodhouse,Классический,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","8,5","3,46",,,,6,6,,"0,305","0,61","0,075","20,94","20,772",240,"0,8","1,2","0,7","866,1","830,88","0,172",28,0.500,РОССИЯ,коричневый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R11,7,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/27d/WS4O116.jpg,https://pvi.cersanit.ru/upload/uf/f0c/INT_Woodhouse_WS4O112_3_1.jpg,1,https://pvi.cersanit.ru/upload/uf/1cf/INT_Woodhouse_WS4O112_3_3.jpg,
WS4O156,A-WS4O156\J,10260,"Ступень Woodhouse темно-бежевый 29,7x59,8","Ступень Cersanit Woodhouse  темно-бежевый  29,7x59,8 WS4O156",,Ступень,4690311080257,4690311080240,,Cersanit,Woodhouse,Классический,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","8,5","3,47",,,,6,6,,"0,308","0,612","0,075",21,"20,832",240,"0,8","1,2","0,7","868,5","833,28","0,172",28,0.500,РОССИЯ,темно-бежевый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R10,7,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/228/WS4O156.jpg,,,,
WS4O526,A-WS4O526\J,10262,"Ступень Woodhouse светло-серый 29,7x59,8","Ступень Cersanit Woodhouse  светло-серый  29,7x59,8 WS4O526",,Ступень,4690311080295,4690311080288,,Cersanit,Woodhouse,Классический,шт.,"29,7x59,8",30x60,30x60,"29,7","59,8","8,5","3,52",,,,6,6,,"0,31","0,62","0,075","21,32","21,15",240,"0,8","1,2","0,7","881,3",846,"0,172",28,0.500,РОССИЯ,светло-серый,Дерево,Керамогранит,матовая,глазурованная,рельефная,,,"E<0,5%",Да,,R11,7,Пол,Для внутренней и внешней отделки,Внутренняя отделка;,https://pvi.cersanit.ru/upload/uf/ae3/WS4O526.jpg,https://pvi.cersanit.ru/upload/uf/ae1/INT_Woodhouse_522_3_3.jpg,,,
